,dataset,preprocessing,clf_type,params,accuracy,dif_accuracy,balanced_accuracy,dif_balanced_accuracy,recall,dif_recall,precision,dif_precision,fpr,dif_fpr,selection_rate,dif_selection_rate,dif_statistical_parity,dif_equal_opp,dif_avg_odds,disparate_impacto_ratio
0,Bank,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'splitter': 'best'}",0.6439133371898536,0.1378530042328246,0.46090242883393084,0.20838976062461406,0.21586770742211153,0.30183203911417894,0.20916262503044653,0.44326413628944145,0.2940628497542498,0.1496644979803221,0.284163518179447,0.11529799434481351,0.11529799434481351,0.30183203911417894,0.10478791585880742,2.342063210026262
1,Bank,sem pré-processamento,Decision Tree,"{'criterion': 'gini', 'splitter': 'random'}",0.6415853719949487,0.15965358283442482,0.467326188840231,0.22064952643903948,0.2340098243725187,0.27974978429680764,0.20804696073975207,0.3920157073852123,0.29935744669205655,0.18660273775313158,0.2910833895025175,0.1407548966376265,0.1407548966376265,0.27974978429680764,0.12710977186848327,1.7149968849576225
2,Bank,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'splitter': 'best'}",0.6610009929678764,0.13097103548262537,0.46813241063184874,0.19755018915761954,0.20989973756813135,0.292033362093759,0.21806924805730712,0.4130908013911845,0.273634916304434,0.13031214650227949,0.2655667190912386,0.12386731948890231,0.12386731948890231,0.292033362093759,0.13092036232074789,2.138373193817674
3,Bank,sem pré-processamento,Decision Tree,"{'criterion': 'entropy', 'splitter': 'random'}",0.6421098006402856,0.15661610274743876,0.4619871226062801,0.20330508893471816,0.22081690330394993,0.26500143802128273,0.21576399328031903,0.38293609363796044,0.29684265809138954,0.18048237864970934,0.28721422582508443,0.1548325178194193,0.1548325178194193,0.26500143802128273,0.1398819583492591,1.8388001681642663
4,Bank,sem pré-processamento,KNN,{'n_neighbors': 1},0.7822935578034707,0.055842746126663165,0.597858602612442,0.11531289805428946,0.3509111096157728,0.22935001438021282,0.37371999404375555,0.269426658284878,0.1551939043908891,0.07567802622991182,0.17996065359409608,0.10318403733645125,0.10318403733645125,0.22935001438021282,0.1346840167628698,2.2051845055552777
5,Bank,sem pré-processamento,KNN,{'n_neighbors': 3},0.7982674066364859,0.05844050502039634,0.6030218854652497,0.09641929816626074,0.3415981427898526,0.18193557664653437,0.41001727852359054,0.27374947214992795,0.1355543718593532,0.06129607860742152,0.1616258051992435,0.08049346251807826,0.08049346251807826,0.18193557664653437,0.10469963749414113,2.0124290598580425
6,Bank,sem pré-processamento,KNN,{'n_neighbors': 5},0.8038758243527202,0.05256096029424436,0.6042413039843904,0.09169062957310352,0.3369403135724379,0.15843111878055796,0.4277542789786507,0.2969556969723966,0.12845770560365732,0.043186111578553635,0.15483684466057027,0.07678673334012001,0.07678673334012001,0.15843111878055796,0.09075281166348487,2.0711426959130046
7,Bank,sem pré-processamento,KNN,{'n_neighbors': 7},0.8084018446734828,0.04891794785365687,0.6082754211875507,0.09272048967242456,0.34031491824237936,0.16870434282427377,0.45769775856081407,0.24590842024834636,0.1237640758672777,0.046286087036382116,0.15116375662947018,0.08876591946585763,0.08876591946585763,0.16870434282427377,0.10220372111490679,2.3210868120166874
8,Bank,sem pré-processamento,Logistic Regression,"{'C': 0.75, 'class_weight': None, 'n_jobs': -1}",0.8335286665134388,0.07247403949043237,0.6074730284416808,0.05284786616538012,0.3047957741740125,0.11301121656600518,0.6405917233079617,0.14695702611324685,0.08984971729065105,0.03514050261102723,0.11704857407746957,0.05474932945419527,0.05474932945419527,0.11301121656600518,0.06119705504922272,2.2262437292373014
9,Bank,sem pré-processamento,Logistic Regression,"{'C': 0.75, 'class_weight': 'balanced', 'n_jobs': -1}",0.7823537513697965,0.12005914355650907,0.7730638210779635,0.09678619800073522,0.7606183971468945,0.126448087431694,0.5016242411562108,0.16255528250514503,0.2144907549909676,0.14557147498557105,0.28361046692302194,0.16997823279489835,0.16997823279489835,0.126448087431694,0.11837986086606138,1.9280108263882858
10,Bank,sem pré-processamento,Logistic Regression,"{'C': 1, 'class_weight': None, 'n_jobs': -1}",0.8343163048166042,0.0685792911440195,0.6116992993931579,0.05526521833822653,0.3136235784940448,0.11112597066436583,0.6458248959023059,0.14941689846074555,0.09022497970772923,0.027536291282666308,0.11849179929911187,0.048599010828260666,0.048599010828260666,0.11112597066436583,0.05604166037985421,2.13637649364551
11,Bank,sem pré-processamento,Logistic Regression,"{'C': 1, 'class_weight': 'balanced', 'n_jobs': -1}",0.7786787049495165,0.10706080471359776,0.7715160929297792,0.07682431871659272,0.7619164255433686,0.10639344262295083,0.4997208294765322,0.15799456642577722,0.21888423968381016,0.1346997660280315,0.28761357581204283,0.15687676915166687,0.15687676915166687,0.10639344262295083,0.105917329957363,1.8971257876321814
12,Bank,sem pré-processamento,Logistic Regression,"{'C': 1.25, 'class_weight': None, 'n_jobs': -1}",0.8355952620755136,0.07377211335527109,0.6163123353754374,0.048740295174966565,0.32269968373595315,0.09847569744032211,0.6492912974294649,0.154604117398901,0.09007501298507836,0.03441133256546915,0.11950897803074714,0.05375122422248811,0.05375122422248811,0.09847569744032211,0.05498373415173848,2.199757626000255
13,Bank,sem pré-processamento,Logistic Regression,"{'C': 1.25, 'class_weight': 'balanced', 'n_jobs': -1}",0.777924552949248,0.10928233087787706,0.7752930337943464,0.08243303687726111,0.7717609851288608,0.10109289617486339,0.5074748048782408,0.16260411870834904,0.2211749175401677,0.1379162437434738,0.29086034834363317,0.15954366947510223,0.15954366947510223,0.10109289617486339,0.10330600904561497,1.8169166973493056
14,Bank,sem pré-processamento,MLP,"{'hidden_layer_sizes': 5, 'max_iter': 5000}",0.8286445084615324,0.08606055294704854,0.6253834255084099,0.09251485248351371,0.35322858488661596,0.1706888121944205,0.488023580005519,0.2042277978606013,0.10246173386979598,0.07773375233225235,0.13419627277649657,0.09109630022259416,0.09109630022259416,0.1706888121944205,0.10331050072957511,2.2201831908769942
15,Bank,sem pré-processamento,MLP,"{'hidden_layer_sizes': 8, 'max_iter': 5000}",0.7754379367100267,0.08712485950954527,0.6014221033941617,0.08474905050657516,0.36844290424601306,0.15031205061834912,0.5228582781404086,0.19199315739822492,0.16559869745768951,0.07549893587077124,0.1912740419172759,0.09087482908933847,0.09087482908933847,0.15031205061834912,0.09444355062903535,2.2048572864209683
